"Mercury","United States"
"Ligier","France"
"Isdera","Germany"
"Corbin","United States"
"Loomis","United States"
"Brewster","United States"
"Hurtu","France"
"Wick","United States"
"Darby","United States"
"Lifan","China"
"AGA","Germany"
"Moon","United States"
"Continental","United States"
"Pathfinder","United States"
"Maibohm","United States"
"Saxon","United States"
"Buchet","France"
"Bailey","United States"
"Aberdonia","United Kingdom"
"Comarth","Spain"
"Aland","United States"
"CinO","United States"
"Burg","United States"
"Kauffman","United States"
"Columbia","United States"
"Pullman","United States"
"Peel","United Kingdom"
"Iran Khodro","Iran"
"Fremont","United States"
"Giannini","Italy"
"Oka","Russian Federation"
"Houpt","United States"
"OM","Italy"
"Argo","United States"
"SPA","Italy"
"Garford","United States"
"Rochet-Schneider","France"
"Burdick","United States"
"LMX","Italy"
"Aymesa","Ecuador"
"Velie","United States"
"Pope-Toledo","United States"
"Jeep","United States"
"Riviera","United States"
"Muntz","United States"
"Rambler","United States"
"VAZ","Russian Federation"
"Rumpler","Germany"
"Ohta","Japan"
"Maruti","India"
"Henry","United States"
"GN","United Kingdom"
"BYD","China"
"Züst","Italy"
"Ambassador","United States"
"Klink","United States"
"Wahl","United States"
"Belsize","United Kingdom"
"Bentley","United Kingdom"
"York Pullman","United States"
"Duesenberg","United States"
"Matra Bonnet","France"
"Pope-Tribune","United States"
"Wayne","United States"
"Piontek","United States"
"Goggomobil","Germany"
"Republic","United States"
"Turcat-Méry","France"
"Alpine","France"
"Griffith","United States"
"Wanderer","Germany"
"Hill","United States"
"Mecca","United States"
"Staver","United States"
"Durant","United States"
"Bellanger","France"
"b+b","Germany"
"Howard","United States"
"Northway","United States"
"Dellow","United Kingdom"
"Leidart","United Kingdom"
"Rapport","United Kingdom"
"Jösse Car","Sweden"
"Goodspeed","United States"
"Only","United States"
"Payne-Modern","United States"
"Tata","India"
"Monarch","United States"
"Maryland","United States"
"Gilbern","United Kingdom"
"Brough Superior","United Kingdom"
"Castagna","Italy"
"Rees","United States"
"Hupmobile","United States"
"Willys-Knight","United States"
"Batten","United Kingdom"
"Farbio","United Kingdom"
"Miller","United States"
"Keeton","United States"
"Buckingham","United Kingdom"
"Berg","United States"
"Pierce-Arrow","United States"
"Ferguson","United Kingdom"
"Compound","United States"
"Wisco","United States"
"Rinspeed","Switzerland"
"Wills Sainte Claire","United States"
"Wendax","Germany"
"Rover","United Kingdom"
"S & M","United States"
"Lauth-Juergens","United States"
"Spoerer","United States"
"Clan","United Kingdom"
"Adams-Farwell","United States"
"Syrena","Poland"
"Cunningham","United States"
"Gnome","United Kingdom"
"Fahlke","Germany"
"Matra-Simca","France"
"Wiesmann","Germany"
"Chalmers-Detroit","United States"
"Mieusset","France"
"Proton","Malaysia"
"Warren-Lambert","United Kingdom"
"BLM","United States"
"American Bantam","United States"
"Pinguin","Germany"
"Denzel","Austria"
"AWZ-Zwickau","Germany"
"Ohio","United States"
"Stearns","United States"
"Skoda","Czech Republic"
"Sunbeam","United Kingdom"
"Climber","United States"
"Hurmid","United Kingdom"
"Commonwealth","United States"
"Ascari","United Kingdom"
"MG","United Kingdom"
"Dolo","France"
"Clark","United States"
"Mohs","United States"
"AM General","United States"
"Shelby Super Cars","United States"
"Queen","United States"
"Hatfield","United States"
"Andre","United Kingdom"
"Fioravanti","Italy"
"Victoria","Germany"
"Marquette","United States"
"Russo-Baltique","Russian Federation"
"Audi","Germany"
"Grout","United States"
"Delage","France"
"Zédel","France"
"Deep Sanderson","United Kingdom"
"Glide","United States"
"Britannia","United Kingdom"
"Jonz","United States"
"Olympian","United States"
"Daniels","United States"
"Zagato","Italy"
"Panhard et Levassor","France"
"Richmond","United States"
"Davrian","United Kingdom"
"Coltman","United Kingdom"
"Marendaz Special","United Kingdom"
"Dixie Flyer","United States"
"Sellers","United States"
"Toyoda","Japan"
"Wiima","Finland"
"Cord","United States"
"Star","United Kingdom"
"Frisky","United Kingdom"
"Humber","United Kingdom"
"Cadillac","United States"
"HCS","United States"
"Warren-Detroit","United States"
"Léon Bollée","France"
"Vernon","United States"
"Stewart","United States"
"Ashton Evans","United Kingdom"
"Superleggera Touring","Italy"
"Willys","United States"
"Adler","Germany"
"Maudslay","United Kingdom"
"Crow-Elkhart","United States"
"Smyjk","Poland"
"MVS","France"
"De Vaux","United States"
"Sampson","United States"
"Master","United States"
"Scootacar","United Kingdom"
"Jiotto","Japan"
"DFP","France"
"ZIL","Russian Federation"
"American","United States"
"Vanden Plas","United Kingdom"
"Laraki","Morocco"
